ZCTA,AGE_18_24,AGE_25_34,AGE_35_44,AGE_55_64,AGE_65_PLUS
00601,388,1905,595,1446,6030
00602,850,3627,1288,3212,13870
00603,1242,4946,1753,4410,17904
00606,280,538,167,563,1953
00610,578,2578,879,2238,9564
00611,37,133,0,86,368
00612,2067,6641,2334,5510,22957
00616,342,870,237,880,3413
00617,561,2379,873,2127,9116
00622,264,529,150,551,2538
00623,1031,4120,1493,3576,14330
00624,442,2589,837,1989,8358
00627,851,3230,1150,2936,12210
00631,30,172,61,72,574
00636,0,134,90,188,483
00637,576,2488,804,2627,8104
00638,534,1927,584,1353,6073
00641,770,2498,964,2015,8601
00646,712,4089,1452,3385,13920
00647,198,676,83,421,1309
00650,230,1557,371,1625,5693
00652,121,398,124,391,1542
00653,131,826,398,1005,3511
00656,433,1931,694,1560,6515
00659,492,3565,1255,3285,13970
00660,689,1358,506,1315,5151
00662,1096,3730,1510,3708,15622
00664,236,1817,580,1369,5893
00667,678,2133,765,2042,8163
00669,723,2756,955,2500,10254
00670,174,1044,311,880,3131
00674,1035,4096,1440,3510,14465
00676,729,3877,1368,3682,14393
00677,579,1440,445,1147,4973
00678,620,2527,904,2101,9324
00680,1849,3948,1596,5533,16053
00682,781,2929,1031,5891,13295
00683,1047,2990,1030,2702,10175
00685,981,4569,1365,3389,13845
00687,524,3140,1127,2752,11489
00688,258,1015,424,1251,4744
00690,133,678,323,684,2583
00692,870,3733,1353,3162,13471
00693,1717,5709,1992,5093,20783
00694,23,0,0,0,0
00698,583,3488,1170,2843,11832
00703,670,2565,899,2626,9316
00704,139,802,268,926,3104
00705,663,2475,866,1991,8660
00707,279,1101,363,722,3672
00714,315,1838,628,1397,6020
00715,39,323,69,150,453
00716,910,2738,852,2451,9487
00717,629,1552,640,1870,5644
00718,644,2777,987,2216,9597
00719,814,3806,1031,2668,11179
00720,558,2342,802,1951,8002
00723,493,1561,567,1278,5444
00725,2345,7525,2610,7409,28646
00727,1360,5553,2088,4754,21383
00728,759,4142,1570,3879,15517
00729,994,5330,1813,4252,18644
00730,1108,3555,934,3009,11666
00731,249,1022,293,832,3609
00735,342,1069,383,1015,4055
00736,1371,4423,1664,4164,17274
00738,968,3062,1046,2859,11156
00739,575,3687,1266,3226,13156
00740,29,373,83,99,704
00741,72,236,53,298,1248
00745,963,4729,1750,4435,18330
00751,570,2238,853,1501,6926
00754,983,3681,1347,3255,13907
00757,349,2306,837,2000,8251
00765,198,894,259,708,2840
00766,400,2500,849,2176,8150
00767,732,3073,1103,2755,11064
00769,625,3765,1145,2567,12475
00771,932,3702,1306,3088,13767
00772,310,1976,629,1616,6608
00773,484,1801,643,1679,6599
00775,29,131,45,168,444
00777,938,4234,1554,3699,15896
00778,874,4406,1576,3817,16776
00780,234,1964,679,1404,5228
00782,606,2137,767,1604,7590
00783,782,3898,1290,3051,13250
00784,805,3842,1396,3638,14791
00786,41,0,0,26,26
00791,1310,4746,1718,4177,16568
00794,537,3438,1116,2749,11231
00795,1006,4829,1663,3935,16651
00901,536,695,69,549,3069
00906,0,0,0,0,107
00907,728,898,540,886,5541
00909,127,694,158,445,1860
00911,242,514,262,491,2437
00912,150,370,79,708,2256
00913,176,1348,204,641,2509
00915,684,2867,1101,2690,9282
00917,727,1386,696,1680,6777
00918,622,1148,534,1414,6509
00920,611,1691,574,1494,6545
00921,1682,4033,864,3269,12497
00923,755,2482,1008,2813,9435
00924,1817,5895,1914,4054,17968
00925,234,150,156,1148,2730
00926,4169,7594,3277,8919,35035
00927,945,1108,401,1253,4793
00934,0,29,25,0,71
00949,1602,7164,2610,6330,27257
00950,0,0,0,0,0
00951,28,54,0,23,90
00952,307,667,188,824,2464
00953,1447,7240,2579,6636,27724
00956,2569,6164,2327,5876,25204
00957,1149,3763,1408,4333,15724
00959,2043,5007,1716,4707,18515
00960,52,0,29,305,2500
00961,797,2708,820,2243,10312
00962,601,2254,700,1920,7604
00965,166,397,199,391,1899
00966,719,1504,619,1123,5374
00968,218,234,122,97,936
00969,1894,3809,1232,3510,15996
00971,697,2091,697,2397,9743
00976,1632,6159,2260,5599,23138
00979,728,1008,233,1565,5512
00982,681,1326,522,1363,5129
00983,899,3622,984,3042,12004
00985,1184,2395,1038,3012,11618
00987,1479,5933,2152,4968,22089
01001,791,1514,435,944,5442
01002,383,1604,742,8110,12883
01003,0,0,194,11695,11944
01005,76,503,145,667,1823
01007,321,1682,439,963,5351
01008,9,124,26,70,324
01009,9,26,39,0,312
01010,28,435,150,185,1218
01011,12,201,50,78,325
01012,10,49,20,13,123
01013,573,2896,1012,2102,9202
01020,660,2639,1469,2676,11641
01022,73,178,46,343,1032
01026,52,111,29,88,337
01027,402,1953,483,1035,5933
01028,1003,2084,835,1119,5486
01029,17,42,26,32,110
01030,397,1341,533,1247,4379
01031,0,325,113,138,697
01032,13,36,10,36,126
01033,160,551,136,496,2001
01034,38,222,66,121,587
01035,142,536,206,252,1687
01036,87,392,109,385,1549
01037,0,46,1,55,127
01038,16,255,106,259,850
01039,21,179,71,59,388
01040,1280,4757,1533,3940,15697
01050,40,329,89,174,881
01053,90,84,55,181,527
01054,36,177,56,71,577
01056,653,1991,701,2186,8084
01057,155,697,332,505,2528
01060,287,1388,499,998,6244
01062,196,1025,369,396,2811
01063,0,0,34,2045,2081
01066,31,7,0,0,51
01068,16,141,54,121,510
01069,232,705,242,706,2537
01070,8,70,16,22,131
01071,5,74,56,167,473
01072,21,114,37,84,420
01073,44,740,92,357,1799
01074,0,69,0,99,316
01075,641,1502,610,2736,6631
01077,183,1039,348,763,3020
01079,0,82,36,56,102
01080,22,281,191,214,1201
01081,12,224,53,78,577
01082,255,1175,522,875,3817
01083,33,406,72,206,1150
01084,4,9,0,3,36
01085,1036,4631,1688,5250,17015
01088,12,9,10,29,316
01089,576,3150,777,2669,12018
01092,1,94,19,159,761
01093,0,0,3,16,33
01094,2,6,0,0,9
01095,572,1884,826,891,5007
01096,16,233,71,109,739
01097,0,8,0,0,19
01098,17,63,11,26,163
01103,3,140,0,268,1114
01104,296,3628,977,2483,9383
01105,135,2031,343,1741,5565
01106,684,2186,692,1034,4883
01107,260,2054,697,1822,5903
01108,422,3214,890,2525,11447
01109,481,4358,1351,6164,15211
01118,242,2043,669,1271,5788
01119,489,1734,404,1976,5626
01128,91,466,44,234,1036
01129,106,615,175,452,2501
01144,0,0,0,0,0
01151,67,1221,436,853,4159
01201,1226,4288,1435,3334,16587
01220,384,790,122,507,2680
01222,10,122,17,0,227
01223,17,237,71,112,660
01224,0,0,23,0,59
01225,66,233,101,222,922
01226,287,833,207,328,1790
01229,0,0,0,21,29
01230,308,742,404,955,3065
01235,71,173,80,141,756
01236,26,106,12,84,390
01237,26,413,74,105,613
01238,271,593,300,282,1827
01240,364,271,212,522,1423
01242,48,17,0,71,118
01243,7,2,0,7,31
01244,0,0,0,14,31
01245,169,75,22,73,176
01247,396,1488,532,1893,5587
01253,16,28,19,10,273
01254,16,57,20,32,215
01255,52,73,20,86,301
01256,37,85,7,28,134
01257,36,63,27,312,806
01258,5,7,0,10,57
01259,3,122,55,66,256
01260,0,0,0,0,0
01262,106,73,34,150,475
01264,15,5,6,11,39
01266,18,68,45,37,196
01267,270,539,373,2397,3850
01270,8,64,29,99,399
01301,574,2095,414,1227,6151
01330,15,109,31,80,329
01331,235,1632,408,1179,4821
01337,37,244,83,91,759
01338,10,0,0,5,9
01339,47,94,36,69,374
01340,70,166,12,183,598
01341,15,136,87,48,444
01342,0,145,36,111,587
01343,3,33,3,3,53
01344,28,199,44,132,629
01346,6,18,20,36,124
01347,0,0,0,44,142
01349,18,135,4,41,276
01350,4,10,0,12,21
01351,27,350,147,37,978
01354,20,141,119,113,731
01355,35,59,70,66,289
01360,130,258,179,217,1016
01364,85,853,330,544,2673
01366,50,123,12,91,311
01367,15,70,16,32,153
01368,6,183,53,84,415
01370,128,355,77,186,1061
01373,118,411,303,270,1462
01375,102,154,57,734,2139
01376,254,386,133,346,1646
01378,9,70,9,31,217
01379,3,66,21,17,206
01380,0,0,0,0,21
01420,864,5006,1188,5177,17299
01430,54,883,351,628,2495
01431,31,354,112,186,872
01432,171,689,342,762,3379
01434,22,158,84,114,670
01436,46,448,25,315,1414
01438,0,128,47,42,153
01440,601,1959,620,1251,7521
01450,148,1924,611,885,3777
01451,122,611,220,352,1807
01452,24,403,149,411,1587
01453,1233,4858,1233,3527,15675
01460,190,1237,427,732,3522
01462,126,1600,497,785,4086
01463,173,1258,422,976,4118
01464,430,678,163,290,2495
01468,25,360,167,221,1499
01469,66,1041,232,469,2568
01473,78,836,322,379,2690
01474,23,88,82,283,668
01475,156,1372,350,950,3848
01501,540,2123,647,1040,5790
01503,119,409,71,150,999
01504,145,1054,479,418,3197
01505,57,553,160,210,1562
01506,69,319,159,295,1031
01507,431,2022,604,962,4295
01510,179,1077,681,1625,6996
01515,69,206,49,128,629
01516,220,1173,677,562,3413
01518,99,552,26,198,1328
01519,172,895,356,1005,2969
01520,324,2589,812,990,5625
01521,25,243,98,148,817
01522,49,319,121,261,1026
01523,92,772,348,715,3365
01524,20,814,248,589,2336
01525,0,0,0,0,0
01527,362,1506,643,788,4891
01529,26,300,193,231,1003
01531,13,126,34,38,287
01532,234,2110,869,1147,5219
01534,125,631,251,419,1917
01535,94,383,263,407,1695
01536,127,847,283,426,2501
01537,0,250,51,207,940
01540,251,1360,354,870,4053
01541,27,480,89,213,971
01542,57,415,36,75,804
01543,107,1294,670,889,3259
01545,976,5282,1884,2825,14733
01550,257,2000,839,2128,6874
01560,15,518,158,232,1771
01561,0,0,0,0,0
01562,271,1355,233,754,3820
01564,71,915,276,168,2024
01566,83,935,362,344,1942
01568,92,1098,289,401,2348
01569,471,1378,492,1160,5086
01570,526,2205,670,1272,6751
01571,393,1566,548,1973,4750
01581,501,3136,1039,1135,8196
01583,271,769,174,442,2508
01585,136,385,282,39,1267
01588,173,1496,333,879,3853
01590,72,849,468,848,3568
01602,654,2127,981,3678,11163
01603,113,1917,834,2545,10009
01604,926,4546,1099,3628,18045
01605,992,4548,1471,3217,13866
01606,487,2521,1099,1950,9132
01607,77,854,257,918,3961
01608,3,849,110,731,2879
01609,645,1639,514,6941,12852
01610,292,2853,770,7256,15156
01611,25,256,19,392,860
01612,93,457,113,937,2033
01701,1259,3765,1138,2200,11595
01702,624,4847,1233,4303,18091
01718,0,140,93,7,387
01719,22,729,259,665,2120
01720,646,3289,1450,1399,7635
01721,410,2147,538,1165,7294
01730,540,1944,774,976,5124
01731,0,433,26,89,879
01740,78,937,192,313,1765
01741,121,818,241,333,1460
01742,860,2684,1026,1117,5332
01745,17,95,9,82,237
01746,135,2059,668,1120,4799
01747,103,904,441,541,1975
01748,195,3047,1125,1031,6412
01749,394,2162,940,1281,7237
01752,768,4271,1032,3389,17130
01754,138,1491,354,687,3900
01756,59,682,487,396,2102
01757,579,3385,983,2282,11943
01760,903,4586,1378,2220,13097
01770,57,772,232,209,1207
01772,169,1451,531,506,3216
01773,381,752,265,337,1269
01775,196,1095,366,440,2435
01776,517,2972,1167,977,5642
01778,343,1899,775,889,4519
01801,1128,3687,1351,4337,17333
01803,971,3067,535,1913,8808
01810,504,4758,2068,2249,11784
01821,406,3135,1253,2409,11733
01824,448,3240,842,2189,8986
01826,1200,4056,1540,2635,12426
01827,21,368,179,370,1255
01830,694,3596,1078,2300,10723
01832,538,2789,929,2551,10282
01833,176,1057,412,541,2870
01834,91,754,182,379,2313
01835,171,1473,652,1695,6437
01840,127,886,279,638,2738
01841,749,8474,2257,6129,24128
01843,370,4101,1012,3523,12822
01844,891,6364,2332,5086,21041
01845,896,4014,1314,4091,12747
01850,215,2614,642,1743,7187
01851,325,3587,945,3747,15173
01852,391,4659,1172,3355,15459
