FIPS,ESTAB,EMP
01001,89,2077
01003,513,10428
01005,36,539
01099,27,291
01009,51,756
01013,30,571
01023,17,124
01029,8,109
01035,13,208
01037,3,10
01041,13,250
01047,42,638
01051,111,1955
01055,173,3410
01057,21,308
01063,3,7
01079,39,483
01109,62,1143
01007,14,180
01011,4,68
01015,183,3896
01017,54,752
01019,33,536
01021,51,839
01025,45,591
01027,15,143
01031,92,1634
01033,97,1745
01039,56,984
01043,125,2669
01045,66,848
01049,83,1583
01053,62,907
01059,40,668
01061,30,324
01065,13,179
01067,21,211
01069,238,4652
01071,68,1022
01073,1258,24594
01075,17,166
01077,167,3350
01081,340,6454
01083,108,1903
01087,16,198
01089,737,15287
01091,31,404
01093,45,518
01095,175,3458
01097,604,12750
01101,412,7952
01103,190,3703
01105,7,29
01107,14,123
01111,27,400
01113,84,1510
01115,113,1939
01117,366,7872
01131,10,125
02050,14,82
02060,3,3
02068,10,20
02100,9,37
02188,4,25
02195,8,25
02220,23,241
02240,9,76
02275,4,16
04001,28,396
04007,98,1558
04012,42,494
01123,59,1023
01119,15,179
01121,94,2076
01125,359,7788
01127,90,1650
01129,6,55
01133,22,329
02016,6,43
02020,571,9187
02063,22,80
02066,6,34
02070,3,6
02090,166,2601
02110,67,795
02122,167,1109
02130,34,272
02150,21,250
02170,165,2239
02180,9,63
02185,9,48
02198,10,66
02230,13,52
04003,176,2949
04005,355,7888
04009,47,917
04011,7,86
04013,7596,168974
04015,343,5878
04017,165,2661
04019,1574,35393
04021,334,6863
04023,70,961
05027,35,584
05029,24,340
05039,7,123
05041,20,286
05059,30,435
05075,24,312
05079,12,97
05087,11,190
05099,7,51
05103,30,420
05113,31,369
05127,10,117
05131,249,5537
05135,24,243
05141,15,370
05001,32,403
04025,434,7747
04027,268,5819
05003,20,335
05005,73,1243
05007,459,10185
05009,65,1157
05011,11,154
05013,4,15
05015,73,821
05017,9,86
05019,35,662
05021,18,179
05023,50,689
05031,216,4508
05033,78,1485
05035,66,1111
05037,24,341
05043,30,447
05045,223,4672
05047,21,297
05049,8,150
05051,228,4320
05053,17,253
05055,67,1106
05057,24,333
05061,21,285
05063,58,1124
05067,16,273
05065,11,100
05069,93,1460
05071,33,520
05073,4,44
05077,7,51
05081,15,212
05083,25,283
05085,82,1786
05089,18,153
05091,52,836
05093,66,932
05095,13,190
05097,7,61
05101,4,56
05105,7,74
05109,12,170
05107,18,231
05111,30,392
05115,113,2158
05117,10,48
05119,849,16386
05121,25,355
05123,26,369
05125,160,3267
05129,13,118
05133,19,298
05137,21,284
05139,57,947
05143,495,10591
05145,121,2350
05147,8,89
05149,18,233
06005,75,1112
06001,3655,50547
06003,4,33
06007,372,6675
06009,90,893
06011,28,391
06013,1938,31035
06015,33,430
06017,394,5714
06019,1578,29079
06021,41,487
06023,266,3657
06025,229,3842
06027,51,715
06029,1338,24650
06031,187,3186
06033,98,1022
06035,28,422
06037,21228,361154
06039,177,2608
06043,29,321
06041,568,10179
06045,205,2590
06047,338,5803
06049,13,98
06051,67,1032
06053,812,14163
06055,276,6737
06057,196,2780
06059,7613,140497
06061,890,17577
06063,56,253
06065,3896,77327
06067,2849,50913
06069,87,1489
06075,3212,42534
06071,3658,67036
06073,6795,128348
06077,1124,20072
06079,763,12770
06081,1703,26496
06083,958,17673
06085,4071,65368
06087,571,9461
06089,331,5370
06091,10,32
06093,83,1043
06095,705,12249
06103,87,1059
08019,34,567
08027,13,124
08039,22,307
08047,5,39
08055,17,131
08065,16,224
08073,11,186
08081,25,321
08095,7,36
08107,112,2266
08109,6,36
08121,3,35
09110,1937,31313
06101,156,2894
06097,1022,16654
06099,867,16643
06105,20,135
06107,632,11222
06109,116,1422
06111,1516,29376
06113,363,6664
06115,67,919
08001,729,15384
08003,33,577
08005,1209,24291
08007,42,691
08013,765,15025
08014,148,2861
08015,81,1064
08021,6,52
08023,4,25
08029,59,573
08031,1884,39230
08033,7,28
08035,550,13162
08037,199,4590
08041,1223,25718
08043,72,1111
08045,159,2350
08049,89,1097
08051,72,984
08053,8,23
08057,7,38
08059,1079,20826
08063,15,200
08067,143,2478
08069,745,15935
08071,36,403
08075,34,542
08077,256,5561
08079,6,17
08083,54,753
08085,74,1242
08087,41,628
08089,34,507
08091,31,299
08093,24,170
08097,101,2716
08099,19,254
08101,261,5183
08103,14,84
08105,27,297
08111,13,54
08113,48,898
08115,4,46
08117,223,4662
08119,46,527
08123,437,8624
08125,20,179
12003,38,738
09140,789,9722
09120,594,8161
09130,400,4660
09150,149,2013
09160,214,2329
09170,1260,17131
09180,615,9311
09190,1513,20373
10001,284,5713
10003,1066,19951
10005,560,10231
11001,2046,40920
12001,517,11222
12005,397,8467
12007,32,526
12009,1064,21840
12011,3689,66762
12039,38,434
12041,18,282
12059,18,254
12015,257,5782
12013,12,192
12017,185,3637
12019,299,6149
12021,796,18959
12023,105,2652
12027,24,362
12029,18,210
12031,1852,37048
12033,499,12439
12035,170,3380
12037,34,525
12043,5,80
12047,10,102
12045,35,476
12049,26,332
12051,53,1039
12053,243,5393
12055,126,2583
12057,2371,45659
12061,259,5161
12063,60,919
12065,17,271
12067,6,36
12069,562,11287
13075,23,401
13201,7,68
12075,63,914
12071,1344,29042
12073,588,12486
12079,21,177
12081,637,13584
12083,462,9424
12085,381,7567
12086,5042,88932
12087,352,6726
12089,158,3417
12091,488,10262
12093,45,788
12095,3054,66382
12097,665,14082
12099,2783,56445
12105,814,18307
12117,880,17482
12123,31,453
12125,6,65
13019,20,247
13027,11,104
13033,31,440
13049,11,231
13055,23,453
13071,58,1006
13083,15,284
13091,17,216
13093,11,70
13099,15,165
13103,67,998
13133,27,436
13139,323,6486
13147,37,607
13155,5,47
13159,18,241
13163,21,240
13167,7,63
13181,12,112
13191,20,293
13199,17,135
12101,736,13975
12103,2003,38589
12107,86,1399
12109,591,12804
12111,427,8894
12113,222,4640
12115,877,18492
12119,161,3973
12121,52,792
12127,1031,21729
12129,35,610
12131,243,4441
12133,34,437
13001,30,513
13003,7,45
13005,13,101
13009,87,1913
13011,32,788
13013,108,2328
13015,172,3776
13017,24,330
13021,369,7560
13023,17,231
13025,13,145
13029,66,1178
13031,139,3571
13035,42,629
13037,3,9
13039,86,1888
13043,20,333
13045,215,4414
13047,100,2147
13051,824,16957
13053,11,153
13057,402,9534
13059,295,7086
13063,374,5715
13065,11,154
13067,1525,30216
13069,60,1578
13073,258,5576
13077,212,4674
13079,5,32
13081,43,858
13085,82,1747
13087,42,720
13089,1455,23120
13095,183,3554
13097,224,4896
13105,18,424
13107,34,404
13109,17,333
13111,63,1028
13113,279,6051
13115,158,4185
13117,370,6980
13119,50,1048
13121,2969,58927
13123,65,1029
13127,231,4304
13129,77,1653
13131,27,396
13135,2076,30508
13137,71,1267
13141,8,20
13143,46,722
13145,32,513
13149,8,60
13151,393,7653
13153,313,6956
13157,85,1555
13161,23,387
13165,12,226
13169,29,513
13171,23,263
13173,8,121
13175,93,2094
13177,23,406
13179,107,2062
13183,8,39
13185,232,5584
13187,45,1121
13189,39,669
13193,13,132
13195,21,219
13197,10,61
13207,29,598
13221,7,85
13227,53,769
13243,6,33
13267,18,301
13269,6,62
13271,17,150
13289,4,30
13291,41,779
13293,41,763
13205,24,328
13209,5,54
13211,42,820
13213,40,577
13215,424,8426
13217,129,2494
13219,73,1729
13223,176,3995
13225,48,811
