ZCTA,WHITE_POP,BLACK_POP,ASIAN_POP,HISPANIC_POP
00601,14170,348,23,16726
00602,18479,555,48,35608
00603,36216,1719,28,48141
00606,3721,9,0,5552
00610,11182,576,0,24609
00611,765,14,0,1258
00612,23571,1775,560,62913
00616,3512,626,147,9601
00617,8496,754,360,22372
00622,3409,419,0,7472
00623,16400,1790,206,39059
00624,16052,611,25,21502
00627,26687,542,0,32459
00631,1377,8,0,1431
00636,603,0,0,1057
00637,14793,123,11,22660
00638,9019,594,77,17479
00641,11942,314,19,23859
00646,16043,2257,0,34988
00647,2337,287,4,4651
00650,6258,81,186,13728
00652,1595,74,49,3834
00653,5668,428,0,8898
00656,13909,343,82,18065
00659,28807,1242,4,36889
00660,3249,381,0,15270
00662,22574,3146,35,39693
00664,8056,560,0,14716
00667,9936,610,0,22871
00669,23993,621,0,27240
00670,4902,197,0,8709
00674,16294,1040,114,38355
00676,28106,1703,0,36446
00677,6030,344,0,14351
00678,17356,893,0,24580
00680,7550,978,33,42980
00682,4887,847,5,29999
00683,18986,339,8,29265
00685,29322,1122,21,38761
00687,12506,1180,0,28551
00688,3097,168,111,11418
00690,4020,204,0,5765
00692,11131,2244,0,32989
00693,22455,2736,9,54411
00694,0,0,0,98
00698,24755,915,0,33153
00703,9973,1650,0,24320
00704,2054,1352,0,6732
00705,8641,2343,0,24361
00707,967,3840,0,10449
00714,8438,3091,0,15699
00715,801,176,0,2040
00716,15241,1663,20,26920
00717,7953,908,16,14896
00718,7887,402,23,23056
00719,13615,2285,1,29512
00720,9714,1034,0,20670
00723,1048,5589,0,15978
00725,42866,6819,170,75670
00727,29152,4940,256,52374
00728,23528,2520,44,38313
00729,13980,6789,319,47755
00730,15339,1479,0,32044
00731,5495,648,0,10454
00735,2969,637,54,10974
00736,17863,4117,71,45723
00738,9206,2033,47,29917
00739,13833,3990,30,34486
00740,680,88,0,2034
00741,662,372,0,3609
00745,13081,5652,169,47124
00751,5433,3577,0,19493
00754,4473,10298,112,36444
00757,5680,3135,28,19952
00765,1813,579,16,7744
00766,8769,1889,0,21974
00767,2463,11410,10,30718
00769,10696,4506,0,34257
00771,3964,11396,32,34859
00772,1595,6942,13,17278
00773,4871,1292,48,17607
00775,342,31,9,1111
00777,12429,8274,0,37531
00778,17069,4566,100,38942
00780,5864,974,0,13853
00782,9031,1523,0,18614
00783,15920,2283,0,34148
00784,20459,3867,0,35713
00786,66,67,0,154
00791,10933,5685,235,45949
00794,15074,2019,0,28300
00795,10511,2552,1,42814
00901,4191,977,1,7738
00906,148,0,0,123
00907,7233,1426,169,15641
00909,1763,610,15,5070
00911,2938,493,266,6015
00912,1610,646,66,5814
00913,1954,295,66,6512
00915,3931,3503,12,24371
00917,7186,1522,65,18358
00918,6140,782,43,15825
00920,7070,3227,0,17158
00921,13228,5116,11,33297
00923,7813,3409,41,24551
00924,21429,8481,9,46651
00925,2242,839,43,5391
00926,45307,8818,130,92419
00927,7538,713,70,13362
00934,69,59,0,44
00949,28208,4725,20,67365
00950,0,0,0,0
00951,71,88,0,298
00952,2613,1401,0,8167
00953,34179,3552,117,65428
00956,23421,4133,31,65274
00957,15222,2572,198,40619
00959,18409,3681,79,46589
00960,886,329,0,3347
00961,11672,2050,33,29089
00962,7922,2274,0,19344
00965,1754,717,30,5032
00966,7083,625,38,16159
00968,1695,106,13,3489
00969,16656,2260,69,41170
00971,10057,1576,0,26351
00976,33792,8029,232,61209
00979,6952,1152,79,16213
00982,5393,2287,129,13722
00983,11616,5039,37,31628
00985,11001,5185,65,32008
00987,18382,6692,129,53489
01001,14384,530,489,1183
01002,16777,942,2085,1903
01003,7809,653,2439,886
01005,4575,55,0,253
01007,13857,171,497,708
01008,1211,0,0,51
01009,699,0,0,0
01010,2985,166,7,48
01011,1279,0,0,17
01012,430,0,0,10
01013,15768,1291,489,7822
01020,25085,1549,674,5336
01022,1584,315,65,158
01026,1024,6,0,17
01027,15582,107,269,1345
01028,14448,433,219,1222
01029,521,0,0,11
01030,11721,155,81,438
01031,1501,0,0,250
01032,479,0,0,5
01033,5782,122,31,217
01034,1953,21,12,11
01035,4849,5,129,187
01036,4618,0,22,270
01037,547,1,11,22
01038,2146,0,25,208
01039,1635,23,0,66
01040,25804,1758,310,19744
01050,2589,35,0,43
01053,1653,165,6,62
01054,1610,10,67,58
01056,18474,255,219,2115
01057,7775,49,168,292
01060,12648,154,493,1265
01062,8408,157,121,743
01063,1352,111,458,170
01066,134,0,0,0
01068,1481,21,0,18
01069,7389,237,151,500
01070,507,1,1,0
01071,1170,30,1,58
01072,1290,6,12,113
01073,5641,21,110,171
01074,664,0,0,30
01075,15127,229,866,1096
01077,8607,22,105,573
01079,604,1,0,54
01080,2076,88,20,328
01081,1633,9,2,73
01082,9685,295,1,442
01083,2243,23,163,133
01084,99,0,0,0
01085,35627,632,1832,4229
01088,693,0,32,5
01089,23198,1016,1530,3419
01092,1398,30,0,0
01093,145,0,0,0
01094,44,0,0,0
01095,13153,555,224,802
01096,2408,21,1,64
01097,36,0,0,0
01098,923,0,0,10
01103,1002,496,69,1055
01104,9903,3125,158,14344
01105,4019,2137,22,9350
01106,14148,206,926,596
01107,5087,1444,191,9921
01108,11877,4745,1797,10803
01109,11441,11227,425,14331
01118,9067,2729,797,3791
01119,7541,3237,640,4398
01128,2224,264,101,682
01129,4235,793,163,2070
01144,0,0,0,0
01151,4899,1677,108,4305
01201,37269,2599,566,3690
01220,7712,28,62,248
01222,623,0,0,0
01223,2359,38,8,82
01224,124,0,0,0
01225,2920,26,79,26
01226,5998,19,73,183
01229,125,0,0,0
01230,8199,209,50,399
01235,2283,12,0,97
01236,1300,13,257,69
01237,2414,25,0,7
01238,5431,36,140,179
01240,4522,78,13,263
01242,255,0,0,0
01243,122,0,0,0
01244,158,0,0,0
01245,790,3,3,49
01247,13663,225,436,875
01253,792,0,0,15
01254,887,43,14,10
01255,841,16,6,24
01256,584,27,0,4
01257,2123,1,46,175
01258,183,0,0,2
01259,682,38,0,62
01260,20,0,0,0
01262,1631,67,39,28
01264,204,0,0,3
01266,903,1,12,23
01267,6884,270,393,286
01270,843,0,7,10
01301,15971,430,305,1125
01330,1436,1,16,63
01331,12914,67,86,777
01337,2340,2,21,37
01338,60,0,0,5
01339,1343,0,27,4
01340,1799,11,11,53
01341,1560,0,7,67
01342,990,43,4,28
01343,158,0,0,9
01344,1544,20,0,55
01346,372,0,9,25
01347,139,0,34,0
01349,656,0,15,5
01350,103,0,0,0
01351,2647,29,0,1
01354,1551,43,101,0
01355,784,0,10,19
01360,2628,6,2,171
01364,7054,74,52,378
01366,1077,5,12,41
01367,443,5,2,11
01368,1406,0,2,0
01370,3350,15,56,194
01373,4789,11,1,269
01375,2878,101,551,184
01376,4395,18,6,282
01378,787,0,9,8
01379,662,50,18,36
01380,25,0,0,0
01420,28738,2980,724,12721
01430,5975,48,54,250
01431,3089,0,15,83
01432,6291,236,131,1268
01434,1066,418,212,227
