ZCTA,AVG_HOUSEHOLD_SIZE
00601,3.14
00602,2.94
00603,2.45
00606,2.86
00610,2.89
00611,2.51
00612,2.68
00616,3.04
00617,2.74
00622,2.51
00623,2.7
00624,2.94
00627,2.81
00631,2.95
00636,4.03
00637,3.13
00638,3.03
00641,2.73
00646,2.99
00647,2.54
00650,2.62
00652,2.71
00653,2.46
00656,2.81
00659,2.83
00660,2.52
00662,2.85
00664,2.95
00667,2.82
00669,2.72
00670,3.2
00674,2.66
00676,2.81
00677,2.66
00678,2.74
00680,2.41
00682,2.48
00683,2.67
00685,2.8
00687,2.91
00688,2.78
00690,2.8
00692,2.75
00693,2.7
00694,1.88
00698,2.71
00703,2.71
00704,2.76
00705,2.73
00707,2.68
00714,2.52
00715,2.59
00716,2.32
00717,2.21
00718,2.85
00719,3.39
00720,3.17
00723,2.57
00725,2.48
00727,2.64
00728,2.76
00729,2.86
00730,2.45
00731,2.65
00735,2.63
00736,2.58
00738,2.52
00739,2.78
00740,2.83
00741,2.7
00745,2.88
00751,2.58
00754,2.73
00757,2.79
00765,3.14
00766,2.81
00767,2.6
00769,2.68
00771,2.87
00772,2.7
00773,2.6
00775,2.65
00777,2.8
00778,2.71
00780,2.9
00782,3.55
00783,3.16
00784,2.34
00786,1.79
00791,2.76
00794,3.13
00795,2.9
00901,2.01
00906,1.9
00907,1.94
00909,2.07
00911,1.86
00912,2.0
00913,2.29
00915,2.32
00917,2.23
00918,1.99
00920,2.42
00921,2.28
00923,2.32
00924,2.34
00925,1.76
00926,2.51
00927,2.18
00934,4.57
00949,2.65
00950,-666666666.0
00951,2.12
00952,2.59
00953,2.94
00956,2.6
00957,2.65
00959,2.61
00960,-666666666.0
00961,2.51
00962,2.57
00965,2.48
00966,2.51
00968,1.94
00969,2.68
00971,2.72
00976,2.59
00979,1.92
00982,2.42
00983,2.49
00985,2.59
00987,2.67
01001,2.36
01002,2.27
01003,2.16
01005,2.75
01007,2.38
01008,2.32
01009,2.28
01010,2.5
01011,2.55
01012,2.22
01013,2.39
01020,2.28
01022,1.65
01026,2.24
01027,2.04
01028,2.65
01029,2.19
01030,2.52
01031,2.51
01032,2.09
01033,2.27
01034,2.45
01035,2.22
01036,2.49
01037,2.09
01038,2.32
01039,2.4
01040,2.45
01050,2.46
01053,1.9
01054,2.4
01056,2.38
01057,2.35
01060,1.91
01062,2.19
01063,1.67
01066,1.94
01068,2.56
01069,2.19
01070,2.17
01071,2.37
01072,2.3
01073,2.48
01074,3.86
01075,2.04
01077,2.49
01079,2.44
01080,2.7
01081,2.48
01082,2.17
01083,2.81
01084,1.98
01085,2.47
01088,1.86
01089,2.26
01092,2.3
01093,2.1
01094,3.38
01095,2.66
01096,2.26
01097,2.12
01098,2.04
01103,1.46
01104,2.46
01105,2.3
01106,2.59
01107,2.85
01108,2.48
01109,2.93
01118,2.62
01119,2.53
01128,2.78
01129,2.41
01144,-666666666.0
01151,2.61
01201,2.22
01220,2.01
01222,2.62
01223,2.17
01224,2.21
01225,2.09
01226,2.16
01229,1.51
01230,2.18
01235,2.32
01236,2.57
01237,2.34
01238,2.23
01240,2.05
01242,3.44
01243,1.88
01244,2.14
01245,2.24
01247,2.13
01253,2.17
01254,2.18
01255,2.48
01256,2.03
01257,2.2
01258,2.32
01259,2.76
01260,2.22
01262,2.24
01264,2.11
01266,2.07
01267,2.14
01270,2.51
01301,2.1
01330,2.11
01331,2.53
01337,2.37
01338,1.35
01339,2.14
01340,2.26
01341,2.27
01342,2.74
01343,2.32
01344,2.41
01346,2.01
01347,1.95
01349,2.23
01350,1.94
01351,2.65
01354,2.4
01355,2.45
01360,2.32
01364,2.49
01366,2.39
01367,2.55
01368,2.7
01370,2.1
01373,2.13
01375,2.04
01376,2.07
01378,2.34
01379,2.11
01380,2.78
01420,2.4
01430,2.7
01431,2.57
01432,2.22
01434,2.68
01436,2.79
01438,2.86
01440,2.25
01450,2.95
01451,2.99
01452,2.79
01453,2.34
01460,2.79
01462,2.55
01463,2.67
01464,2.41
01468,2.41
01469,2.56
01473,2.53
01474,2.69
01475,2.78
01501,2.49
01503,2.45
01504,2.36
01505,2.59
01506,2.38
01507,2.74
01510,2.28
01515,2.43
01516,2.92
01518,2.31
01519,2.87
01520,2.79
01521,2.2
01522,2.53
01523,2.45
01524,2.66
01525,-666666666.0
01527,2.63
01529,2.49
01531,2.44
01532,2.66
01534,2.45
01535,2.53
01536,2.33
01537,2.39
01540,2.79
01541,2.63
01542,2.49
01543,2.96
01545,2.68
01550,2.48
01560,2.47
01561,-666666666.0
01562,2.33
01564,2.28
01566,2.57
01568,2.93
01569,2.62
01570,2.37
01571,2.56
01581,2.62
01583,2.36
01585,2.29
01588,2.51
01590,2.83
01602,2.41
01603,2.54
01604,2.39
01605,2.52
01606,2.46
01607,2.34
01608,2.17
01609,2.17
01610,2.44
01611,2.86
01612,2.72
01701,2.46
01702,2.49
01718,3.06
01719,2.52
01720,2.62
01721,2.42
01730,2.49
01731,3.78
01740,2.99
01741,2.91
01742,2.64
01745,2.6
01746,2.67
01747,2.74
01748,2.79
01749,2.47
01752,2.47
