restaurant_id,restaurant_name,menu_item,category,description,price,exclusion_reason
2459105,NEW BEAUTY NAIL BAR LLC,$100 Gift Certficate,Other,$100 gift certificate,100.0,gift certficate
2459105,NEW BEAUTY NAIL BAR LLC,$150 Gift Certificate,Other,$150 gift certificate,150.0,gift certificate
1181358,Jay's Coffee & Cuisine,1lb Coffee Bag,Non-Alcoholic Beverages,,25.0,bag
2395847,MOCHIATSU,Dark Roast Vietnamese Coffee Bag,Non-Alcoholic Beverages,,18.0,bag
2452966,HPH MKT,Membership Vip,Other,,99.99,membership
2467035,Chings Hot Wings,Memphis Delivery Fee,Sides,,50.0,delivery fee
2448371,STREET TACOS,Bag Of Chips,Sides,"our made in-house flour chips, the same chips that are served with our tacos",1.0,bag
1239617,McAlister's 1269,Bag Of Chips,Sides,your meal with a side of crunch.it's the classic side for your classic choice.,2.29,bag
1239609,McAlister's Deli,Bag Of Chips,Sides,your meal with a side of crunch.it's the classic side for your classic choice.,2.29,bag
2260434,McAlister's Deli,Bag Of Chips,Sides,your meal with a side of crunch.it's the classic side for your classic choice.,2.29,bag
2290134,McAlister's Deli,Bag Of Chips,Sides,your meal with a side of crunch.it's the classic side for your classic choice.,2.29,bag
2297660,McAlister's Deli,Bag Of Chips,Sides,your meal with a side of crunch.it's the classic side for your classic choice.,2.29,bag
2282860,McAlister's Deli,Bag Of Chips,Sides,your meal with a side of crunch.it's the classic side for your classic choice.,2.29,bag
2260449,McAlister's Deli,Bag Of Chips,Sides,your meal with a side of crunch.it's the classic side for your classic choice.,2.29,bag
1187527,McAlister's Deli,Bag Of Chips,Sides,your meal with a side of crunch.it's the classic side for your classic choice.,2.29,bag
1187526,McAlister's Deli,Bag Of Chips,Sides,your meal with a side of crunch.it's the classic side for your classic choice.,2.29,bag
1718527,Mississippi Old Town Taco,Bag Of Chips,Sides,,4.55,bag
2450925,TACO CAT,Bag Of Chips,Sides,,2.99,bag
473903,El Mero Restaurant,Bag Of Chips,Appetizers,,5.0,bag
2558506,Railgarten,Bag Of Chips,Sandwiches & Burgers,,1.0,bag
1846760,Lit Cafe & Billiard,Bag Of Chips,Other,,2.35,bag
1528548,LILYS BAKERY & CATERING,Mug-birthday Rabbit- Gift,Other,mug with handles. there is a picture of a rabbit popping out of an open gift box with the words saying happy birthday. inside of the mug is the image of a cupcake.,12.5,gift
2458555,ON THE YARD,Aka Lg Gift Bag,Other,,7.99,gift bag
2460390,The Life Store,Computer Bag,Other,,14.0,bag
2234731,abbays Southaven,Bag Of Ice,Non-Alcoholic Beverages,bag of ice,2.99,bag
2523214,Supreme Hot Wings,Bag Of Ice,Non-Alcoholic Beverages,,1.79,bag
989271,abbays Olive Branch,Bag Of Ice,Entrées,bag of ice,2.99,bag
2123815,SOUTH MEMPHIS GROCERY,Bag Of Ice,Other,,2.73,bag
2458555,ON THE YARD,Zfb Lg Gift Bag,Other,,7.99,gift bag
2510186,Royal Panda Restaurant,Organic Tea Bag,Non-Alcoholic Beverages,organic tea brewed and served hot.,3.0,bag
1706037,Bluff City Crab,Veggie Bag,Other,"three potatoes and three corn. add a cluster, lobster tail, sausage, egg, or broccoli. customize the juiciness to your preference!",8.29,bag
2393802,DICK'S Sporting Goods,"Nike Brasiliatraining Duffel Bag (medium, 60l) (black/black/white)",Wine,,47.0,bag
2255872,SWEET LALA'S BAKERY LLC,Bagels By Bag,Other,,12.0,bag
2255872,SWEET LALA'S BAKERY LLC,Bagels By Bag,Other,,10.0,bag
2255872,SWEET LALA'S BAKERY LLC,Bagels By Bag,Other,,12.0,bag
2255872,SWEET LALA'S BAKERY LLC,Bagels By Bag,Other,,10.0,bag
1090499,Memphis Pizza Cafe,"Happy Hour Discount 15""",Pizzas,,1.5,discount
2459105,NEW BEAUTY NAIL BAR LLC,$200 Gift Certificate,Other,$200 gift certificate,200.0,gift certificate
2458555,ON THE YARD,Dst Sm Gift Bag,Other,,3.99,gift bag
984572,Crazy Lu Seafood Shack,"Bag #3 2 Crab, 1/2 Lb Black Mussel, 1/2 Lb Shrimp, 3 Sausage, 3 Corn, 3 Potato, 2 Eggs",Entrées,,63.49,bag
2458555,ON THE YARD,Sgr Canvas Bag,Other,,49.99,bag
2452966,HPH MKT,Budtndr Membership,Other,,149.99,membership
984572,Crazy Lu Seafood Shack,"Bag #1 1 Crab, 1/2 Lb Shrimp, 2 Sausage, 1 Corn, 2 Potato",Sandwiches & Burgers,,33.49,bag
2409501,Hen House,Cake Cutting Fee,Desserts,,3.0,fee
2447908,Ancient Grounds,Rainforest Retail Bag,Other,,18.5,bag
2452966,HPH MKT,Choc-mint Taffy Bag,Desserts,,69.99,bag
2458555,ON THE YARD,Dst Gift Bag,Other,,5.99,gift bag
2458555,ON THE YARD,Zfb Canvas Bag,Other,,49.99,bag
1181358,Jay's Coffee & Cuisine,4lb Coffee Bag,Non-Alcoholic Beverages,,60.0,bag
1732144,JD Sports,Nike Brasiliatraining Duffel Bag (95l) (one Size),Other,,52.0,bag
1732144,JD Sports,Nike Brasiliatraining Duffel Bag (95l) (one Size),Other,,52.0,bag
2386158,R &amp; R WINE SPIRITS AND MORE,Cakewalk Say Cheese Wine Bag (oz),Desserts,,4.39,bag
