state,county,zcta,zcta_geoid,county_geoid
31,039,68788,86000US68788,05000US31039
31,039,68716,86000US68716,05000US31039
31,039,68791,86000US68791,05000US31039
31,039,68004,86000US68004,05000US31039
53,069,98647,86000US98647,05000US53069
53,069,98621,86000US98621,05000US53069
53,069,98612,86000US98612,05000US53069
53,069,98643,86000US98643,05000US53069
35,011,88134,86000US88134,05000US35011
35,011,88136,86000US88136,05000US35011
35,011,88119,86000US88119,05000US35011
31,109,68358,86000US68358,05000US31109
31,109,68368,86000US68368,05000US31109
31,109,68419,86000US68419,05000US31109
31,109,68372,86000US68372,05000US31109
31,109,68404,86000US68404,05000US31109
31,109,68438,86000US68438,05000US31109
31,109,68430,86000US68430,05000US31109
31,109,68317,86000US68317,05000US31109
31,109,68526,86000US68526,05000US31109
31,109,68339,86000US68339,05000US31109
31,109,68516,86000US68516,05000US31109
31,109,68523,86000US68523,05000US31109
31,109,68512,86000US68512,05000US31109
31,109,68461,86000US68461,05000US31109
31,109,68506,86000US68506,05000US31109
31,109,68502,86000US68502,05000US31109
31,109,68522,86000US68522,05000US31109
31,109,68532,86000US68532,05000US31109
31,109,68520,86000US68520,05000US31109
31,109,68510,86000US68510,05000US31109
31,109,68508,86000US68508,05000US31109
31,109,68528,86000US68528,05000US31109
31,109,68503,86000US68503,05000US31109
31,109,68505,86000US68505,05000US31109
31,109,68527,86000US68527,05000US31109
31,109,68504,86000US68504,05000US31109
31,109,68507,86000US68507,05000US31109
31,109,68521,86000US68521,05000US31109
31,109,68524,86000US68524,05000US31109
31,109,68531,86000US68531,05000US31109
31,109,68402,86000US68402,05000US31109
31,109,68514,86000US68514,05000US31109
31,109,68517,86000US68517,05000US31109
31,109,68462,86000US68462,05000US31109
31,109,68336,86000US68336,05000US31109
31,109,68428,86000US68428,05000US31109
31,129,68974,86000US68974,05000US31129
31,129,68961,86000US68961,05000US31129
31,129,68964,86000US68964,05000US31129
31,129,68957,86000US68957,05000US31129
31,129,68934,86000US68934,05000US31129
31,129,68943,86000US68943,05000US31129
