zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
601,18.18027,-66.75266,Adjuntas,PR,Puerto Rico,TRUE,,16669,99.9,72001,Adjuntas,"{""72001"": 98.74, ""72141"": 1.26}",Adjuntas|Utuado,72001|72141,FALSE,FALSE,America/Puerto_Rico
602,18.36075,-67.17541,Aguada,PR,Puerto Rico,TRUE,,37233,474,72003,Aguada,"{""72003"": 100}",Aguada,72003,FALSE,FALSE,America/Puerto_Rico
603,18.45744,-67.12225,Aguadilla,PR,Puerto Rico,TRUE,,48448,544.6,72005,Aguadilla,"{""72005"": 99.76, ""72099"": 0.24}",Aguadilla|Moca,72005|72099,FALSE,FALSE,America/Puerto_Rico
606,18.16585,-66.93716,Maricao,PR,Puerto Rico,TRUE,,5163,45,72093,Maricao,"{""72093"": 82.26, ""72153"": 11.67, ""72121"": 6.06}",Maricao|Yauco|Sabana Grande,72093|72153|72121,FALSE,FALSE,America/Puerto_Rico
610,18.2911,-67.12243,Anasco,PR,Puerto Rico,TRUE,,25357,263.8,72011,Añasco,"{""72011"": 96.8, ""72099"": 2.83, ""72083"": 0.37}",Añasco|Moca|Las Marías,72011|72099|72083,FALSE,FALSE,America/Puerto_Rico
611,18.27698,-66.80688,Angeles,PR,Puerto Rico,TRUE,,1383,50.2,72141,Utuado,"{""72141"": 100}",Utuado,72141,FALSE,FALSE,America/Puerto_Rico
612,18.41283,-66.7051,Arecibo,PR,Puerto Rico,TRUE,,62908,319,72013,Arecibo,"{""72013"": 98.94, ""72065"": 0.96, ""72017"": 0.1}",Arecibo|Hatillo|Barceloneta,72013|72065|72017,FALSE,FALSE,America/Puerto_Rico
616,18.41878,-66.6679,Bajadero,PR,Puerto Rico,TRUE,,9717,344.7,72013,Arecibo,"{""72013"": 100}",Arecibo,72013,FALSE,FALSE,America/Puerto_Rico
617,18.44598,-66.56006,Barceloneta,PR,Puerto Rico,TRUE,,22584,475.1,72017,Barceloneta,"{""72017"": 99.47, ""72054"": 0.43, ""72013"": 0.1}",Barceloneta|Florida|Arecibo,72017|72054|72013,FALSE,FALSE,America/Puerto_Rico
622,17.98892,-67.1566,Boqueron,PR,Puerto Rico,TRUE,,7664,94.9,72023,Cabo Rojo,"{""72023"": 100}",Cabo Rojo,72023,FALSE,FALSE,America/Puerto_Rico
623,18.08429,-67.15336,Cabo Rojo,PR,Puerto Rico,TRUE,,39212,386.2,72023,Cabo Rojo,"{""72023"": 100}",Cabo Rojo,72023,FALSE,FALSE,America/Puerto_Rico
624,18.05905,-66.71932,Penuelas,PR,Puerto Rico,TRUE,,21148,173.9,72111,Peñuelas,"{""72111"": 94.94, ""72113"": 5.06}",Peñuelas|Ponce,72111|72113,FALSE,FALSE,America/Puerto_Rico
627,18.41905,-66.86037,Camuy,PR,Puerto Rico,TRUE,,32734,272.6,72027,Camuy,"{""72027"": 100}",Camuy,72027,FALSE,FALSE,America/Puerto_Rico
631,18.1852,-66.83169,Castaner,PR,Puerto Rico,TRUE,,1321,163.2,72081,Lares,"{""72081"": 50.63, ""72001"": 49.37}",Lares|Adjuntas,72081|72001,FALSE,FALSE,America/Puerto_Rico
637,18.081,-66.94659,Sabana Grande,PR,Puerto Rico,TRUE,,22909,251.5,72121,Sabana Grande,"{""72121"": 94.02, ""72125"": 4.18, ""72079"": 1.8}",Sabana Grande|San Germán|Lajas,72121|72125|72079,FALSE,FALSE,America/Puerto_Rico
638,18.28462,-66.5137,Ciales,PR,Puerto Rico,TRUE,,17319,93.7,72039,Ciales,"{""72039"": 91.88, ""72107"": 7.48, ""72091"": 0.64}",Ciales|Orocovis|Manatí,72039|72107|72091,FALSE,FALSE,America/Puerto_Rico
641,18.26742,-66.70212,Utuado,PR,Puerto Rico,TRUE,,23831,109.4,72141,Utuado,"{""72141"": 100}",Utuado,72141,FALSE,FALSE,America/Puerto_Rico
646,18.43251,-66.28429,Dorado,PR,Puerto Rico,TRUE,,35998,660.2,72051,Dorado,"{""72051"": 97.18, ""72143"": 2.82}",Dorado|Vega Alta,72051|72143,FALSE,FALSE,America/Puerto_Rico
647,17.96667,-66.94266,Ensenada,PR,Puerto Rico,TRUE,,4369,106.7,72055,Guánica,"{""72055"": 98.2, ""72079"": 1.8}",Guánica|Lajas,72055|72079,FALSE,FALSE,America/Puerto_Rico
650,18.34487,-66.58347,Florida,PR,Puerto Rico,TRUE,,13200,160.7,72054,Florida,"{""72054"": 47.39, ""72141"": 41.9, ""72091"": 4.27, ""72039"": 2.87, ""72013"": 2.5, ""72017"": 1.07}",Florida|Utuado|Manatí|Ciales|Arecibo|Barceloneta,72054|72141|72091|72039|72013|72017,FALSE,FALSE,America/Puerto_Rico
652,18.45614,-66.60194,Garrochales,PR,Puerto Rico,TRUE,,4504,269.9,72013,Arecibo,"{""72013"": 100}",Arecibo,72013,FALSE,FALSE,America/Puerto_Rico
653,17.99413,-66.90266,Guanica,PR,Puerto Rico,TRUE,,8495,148.5,72055,Guánica,"{""72055"": 97.5, ""72121"": 2.5}",Guánica|Sabana Grande,72055|72121,FALSE,FALSE,America/Puerto_Rico
656,18.04186,-66.79123,Guayanilla,PR,Puerto Rico,TRUE,,17398,159.4,72059,Guayanilla,"{""72059"": 96.77, ""72153"": 3.1, ""72111"": 0.12}",Guayanilla|Yauco|Peñuelas,72059|72153|72111,FALSE,FALSE,America/Puerto_Rico
659,18.41036,-66.79691,Hatillo,PR,Puerto Rico,TRUE,,37327,351,72065,Hatillo,"{""72065"": 100}",Hatillo,72065,FALSE,FALSE,America/Puerto_Rico
660,18.13412,-67.11399,Hormigueros,PR,Puerto Rico,TRUE,,15405,525.5,72067,Hormigueros,"{""72067"": 100}",Hormigueros,72067,FALSE,FALSE,America/Puerto_Rico
662,18.46622,-67.01508,Isabela,PR,Puerto Rico,TRUE,,41090,384.4,72071,Isabela,"{""72071"": 100}",Isabela,72071,FALSE,FALSE,America/Puerto_Rico
664,18.21064,-66.59066,Jayuya,PR,Puerto Rico,TRUE,,14807,121.9,72073,Jayuya,"{""72073"": 94.96, ""72141"": 5.04}",Jayuya|Utuado,72073|72141,FALSE,FALSE,America/Puerto_Rico
667,18.01246,-67.0417,Lajas,PR,Puerto Rico,TRUE,,22792,146.2,72079,Lajas,"{""72079"": 98.04, ""72125"": 1.96}",Lajas|San Germán,72079|72125,FALSE,FALSE,America/Puerto_Rico
669,18.27019,-66.86727,Lares,PR,Puerto Rico,TRUE,,27417,165.1,72081,Lares,"{""72081"": 93.38, ""72141"": 3.8, ""72083"": 2.7, ""72131"": 0.12}",Lares|Utuado|Las Marías|San Sebastián,72081|72141|72083|72131,FALSE,FALSE,America/Puerto_Rico
670,18.23782,-66.98852,Las Marias,PR,Puerto Rico,TRUE,,8512,70.7,72083,Las Marías,"{""72083"": 95.64, ""72011"": 3.6, ""72097"": 0.45, ""72093"": 0.31}",Las Marías|Añasco|Mayagüez|Maricao,72083|72011|72097|72093,FALSE,FALSE,America/Puerto_Rico
674,18.42229,-66.4891,Manati,PR,Puerto Rico,TRUE,,39093,347.4,72091,Manatí,"{""72091"": 99.45, ""72145"": 0.55}",Manatí|Vega Baja,72091|72145,FALSE,FALSE,America/Puerto_Rico
676,18.37897,-67.08098,Moca,PR,Puerto Rico,TRUE,,36972,292.2,72099,Moca,"{""72099"": 99.19, ""72003"": 0.81}",Moca|Aguada,72099|72003,FALSE,FALSE,America/Puerto_Rico
677,18.33535,-67.23155,Rincon,PR,Puerto Rico,TRUE,,15483,410.3,72117,Rincón,"{""72117"": 97.98, ""72011"": 1.2, ""72003"": 0.82}",Rincón|Añasco|Aguada,72117|72011|72003,FALSE,FALSE,America/Puerto_Rico
678,18.42949,-66.93016,Quebradillas,PR,Puerto Rico,TRUE,,24595,325.9,72115,Quebradillas,"{""72115"": 77.04, ""72071"": 17.18, ""72131"": 5.79}",Quebradillas|Isabela|San Sebastián,72115|72071|72131,FALSE,FALSE,America/Puerto_Rico
680,18.16307,-67.36122,Mayaguez,PR,Puerto Rico,TRUE,,42689,256.3,72097,Mayagüez,"{""72097"": 94.1, ""72125"": 3.46, ""72011"": 2.44}",Mayagüez|San Germán|Añasco,72097|72125|72011,FALSE,FALSE,America/Puerto_Rico
682,18.22415,-67.15309,Mayaguez,PR,Puerto Rico,TRUE,,28977,686,72097,Mayagüez,"{""72097"": 99.83, ""72067"": 0.17}",Mayagüez|Hormigueros,72097|72067,FALSE,FALSE,America/Puerto_Rico
683,18.10926,-67.03803,San German,PR,Puerto Rico,TRUE,,29490,231,72125,San Germán,"{""72125"": 100}",San Germán,72125,FALSE,FALSE,America/Puerto_Rico
685,18.33656,-66.97518,San Sebastian,PR,Puerto Rico,TRUE,,39988,196.2,72131,San Sebastián,"{""72131"": 87.74, ""72071"": 11.31, ""72099"": 0.95}",San Sebastián|Isabela|Moca,72131|72071|72099,FALSE,FALSE,America/Puerto_Rico
687,18.31707,-66.42029,Morovis,PR,Puerto Rico,TRUE,,28397,282.1,72101,Morovis,"{""72101"": 100}",Morovis,72101,FALSE,FALSE,America/Puerto_Rico
688,18.3807,-66.62496,Sabana Hoyos,PR,Puerto Rico,TRUE,,10028,119.1,72013,Arecibo,"{""72013"": 100}",Arecibo,72013,FALSE,FALSE,America/Puerto_Rico
690,18.49363,-67.09734,San Antonio,PR,Puerto Rico,TRUE,,5870,1002.4,72005,Aguadilla,"{""72005"": 100}",Aguadilla,72005,FALSE,FALSE,America/Puerto_Rico
692,18.40905,-66.33768,Vega Alta,PR,Puerto Rico,TRUE,,32802,477.4,72143,Vega Alta,"{""72143"": 99.87, ""72145"": 0.13}",Vega Alta|Vega Baja,72143|72145,FALSE,FALSE,America/Puerto_Rico
