restaurant_id,restaurant_name,zip_or_postal_code,KEEP,PROMOTE,REMOVE,REFRESH_RECIPE,REPOSITION,ADD_NEW_ITEM,SEASONAL_SPECIAL,EXPAND_CATEGORY,PRICE_OPTIMIZATION
12468,Wendy's,38117,"Breakfast Burrito | Sausage, Egg & Swiss Croissant | Kids' Cheeseburger","Breakfast Burrito, Sausage | Taco Salad | Apple Pecan Salad | Cobb Salad",6 Piece French Toast Sticks | Apple Bites | Baconator Fries | Cheese Fries | Chocolate Milk,Breakfast Baconator(r) | Sausage Gravy & Biscuit | Parmesan Caesar Salad | Grilled Chicken Wrap | Simply Orange(r) Juice,Kids' 2 Pc. Tenders,Healthy lunch salad | Limited-time specialty pizza,"Apple Pecan Salad | Cobb Salad | Breakfast Burrito, Sausage | Taco Salad | Parmesan Caesar Salad",Expand Tacos/Burritos,Jr. Hamburger | 4 Pc. Crispy Chicken Nuggets | Egg & Cheese Biscuit | 4 Pc. Spicy Chicken Nuggets | Jr. Cheeseburger
12764,McDonald's,38138,2 Sausage Burrito Meal | Sausage Burrito | Honest Kids(r) Organic Apple Juice Drink | Filet-o-fish(r) Meal | Double Filet-o-fish(r) Meal,2 Hot Honey Snack Wrap(r) Meal | Hot Honey Snack Wrap(r) And Spicy Snack Wrap(r) Meal | Hot Honey Snack Wrap(r) And Ranch Snack Wrap(r) Meal | Hot Honey Mccrispy Meal | Bacon Hot Honey Mccrispy Meal,Medium Sprite(r) | Medium Diet Coke(r) | Dasani(r) Bottled Water | Medium Dr Pepper(r) | Medium Fanta(r) Orange,2 Large Fries | Medium Unsweetened Iced Tea | Medium Southern Style Sweet Tea | Bottled Orange Juice | Medium Southern Style Sweet Tea Lemonade,Hot Honey Sausage Egg Biscuit | Hot Honey Snack Wrap(r) | Hot Honey Sausage Egg Biscuit Meal | Hot Honey Mccrispy | Bacon Hot Honey Mccrispy,Healthy lunch salad | Limited-time specialty pizza,2 Hot Honey Snack Wrap(r) Meal | Hot Honey Snack Wrap(r) And Spicy Snack Wrap(r) Meal | Hot Honey Snack Wrap(r) And Ranch Snack Wrap(r) Meal | Hot Honey Mccrispy Meal | Bacon Hot Honey Mccrispy Meal,Expand Tacos/Burritos,English Mcmuffin(r) | Bagel | Egg Biscuit | Sausage Mcmuffin(r) | Hamburger
12824,Magnolia & May,38117,Apple & Butternut Squash Salad | Kids Grilled Cheese | Cobb Salad | House Salad | Caesar Salad,Cobb Salad,Dr.pepper | Coke | Diet Coke | Sprite | Kale Slaw(v),Root Beer | Orange Soda | Double Cheeseburger | Pimento Cheese (no Nuts) | Sausage & Cheese Board,Collard Green & Fried Chicken Melt | Collard And Fried Chicken Melt,Limited-time specialty pizza,Collard Green & Fried Chicken Melt | Collard And Fried Chicken Melt | Cobb Salad | Kids Grilled Cheese | Apple & Butternut Squash Salad,Expand Salads,Tacos Brunch | Double Cheeseburger | Distinguished Guest Breakfast | Brunchwrap Supreme | Patty Melt
12864,McDonald's,38119,2 Sausage Burrito Meal | Honest Kids(r) Organic Apple Juice Drink | Sausage Burrito | Medium Hot Tea | Filet-o-fish(r) Meal,2 Hot Honey Snack Wrap(r) Meal | Hot Honey Snack Wrap(r) And Spicy Snack Wrap(r) Meal | Hot Honey Snack Wrap(r) And Ranch Snack Wrap(r) Meal,Hash Browns,Hash Browns | Apple Slices | 3 Half Strips Bacon | 2 Half Strips Bacon | Round Egg,Classic Big Mac(r) Pack | Classic Cheeseburger Pack | Big Mac(r) Meal,Healthy lunch salad | Limited-time specialty pizza,2 Hot Honey Snack Wrap(r) Meal | Hot Honey Snack Wrap(r) And Spicy Snack Wrap(r) Meal | Hot Honey Snack Wrap(r) And Ranch Snack Wrap(r) Meal | Hot Honey Mccrispy Meal | Bacon Hot Honey Mccrispy Meal,Expand Tacos/Burritos,English Mcmuffin(r) | Bagel | Classic Big Mac(r) Pack | Mcchicken(r) | Egg Biscuit
12944,East End Grill,38125,Buffalo Chicken Quesadilla | Chili Texas Style No Beans Bowl | Soup Of The Day Bowl | Red Beans & Rice Bowl | East End Seafood Gumbo Bowl,Beef Quesadilla | Southwestern Chicken Quesadilla | Chicken Quesadilla | East End Nachos | Fish Taco,French Silk Pie,Cheese Fries | Caribbean Cheese Steak | Big Apple Dog Add Chili & Cheese | Grouper Reuben | French Silk Pie,Fried Pickles | Red Beans & Rice | Filet | Beef-ka-bobs,Limited-time specialty pizza,East End Nachos | Grilled Steak & Onion | Chicken-ka-bob Platter | Chili Texas Style No Beans Bowl | Chicken Salad,Expand Tacos/Burritos | Expand Salads | Expand Wings/Chicken,Make It A Platter Add French Fries Or Onion Rings | Make It A Platter
13076,Taco Bell,38119,Cantina Chicken Burrito Combo | Cantina Chicken Burrito Meal | Cantina Chicken Quesadilla Meal | Variety Taco Party Pack | Crispy Chicken Nuggets Deluxe Combo,Mini Taco Salad | Cheese Quesadilla | Avocado Ranch Chicken Stacker | Cantina Chicken Crispy Taco | Steak Quesadilla,Black Beans And Rice,Classic Stacker | Beefy Potato Loaded Griller | Steak Garlic Nacho Fries | Black Beans And Rice | Black Beans,Mini Taco Salad,Healthy lunch salad,Mini Taco Salad | Cheese Quesadilla | Avocado Ranch Chicken Stacker | Cantina Chicken Crispy Taco | Steak Quesadilla,Expand Tacos/Burritos | Expand Pizza/Flatbreads,Supreme Variety Taco Party Pack | Variety Taco Party Pack | Cheesy Roll Up | Supreme Soft Taco Party Pack | Supreme Taco Party Pack
13112,Taco Bell,38119,Veggie Meal For 2 | Cantina Chicken Burrito Combo | Nachos Bellgrande(r) Combo | Cantina Chicken Burrito Meal | Cantina Chicken Quesadilla Meal,Mini Taco Salad | Cheese Quesadilla | Avocado Ranch Chicken Stacker | Cantina Chicken Crispy Taco | Steak Grilled Cheese Burrito Combo,Black Beans And Rice,Classic Stacker | Beefy Potato Loaded Griller | Steak Garlic Nacho Fries | Black Beans And Rice | Black Beans,Mini Taco Salad,Healthy lunch salad,Mini Taco Salad | Cheese Quesadilla | Avocado Ranch Chicken Stacker | Cantina Chicken Crispy Taco | Steak Quesadilla,Expand Tacos/Burritos | Expand Pizza/Flatbreads,Supreme Variety Taco Party Pack | Variety Taco Party Pack | Supreme Soft Taco Party Pack | Supreme Taco Party Pack | Meal For 4
13152,McDonald's,38118,2 Spicy Snack Wrap(r) Meal | Spicy Mccrispy Meal | Deluxe Spicy Mccrispy Meal | 2 Ranch Snack Wrap(r) Meal | 20 Pc. Chicken Mcnuggets(r) & 2 Medium Fries,2 Hot Honey Snack Wrap(r) Meal | Hot Honey Snack Wrap(r) And Spicy Snack Wrap(r) Meal | Hot Honey Snack Wrap(r) And Ranch Snack Wrap(r) Meal,Hash Browns | Apple Slices | 3 Half Strips Bacon | 2 Half Strips Bacon | Round Egg,Mcchicken(r) | 6 Pc. Chicken Mcnuggets(r) | 4 Pc. Chicken Mcnuggets(r) | Medium French Fries | Egg Cheese Biscuit,2 Large Fries | Big Mac(r) | Classic Big Mac(r) Pack | Classic Cheeseburger Pack | Big Mac(r) Meal,Healthy lunch salad | Limited-time specialty pizza,2 Hot Honey Snack Wrap(r) Meal | Hot Honey Snack Wrap(r) And Spicy Snack Wrap(r) Meal | Hot Honey Snack Wrap(r) And Ranch Snack Wrap(r) Meal | Hot Honey Mccrispy Meal | Bacon Hot Honey Mccrispy Meal,Expand Wings/Chicken,Classic Quarter Pounder(r) With Cheese Pack | Classic Big Mac(r) Pack | Classic Cheeseburger Pack | English Mcmuffin(r) | Bagel
14020,Taco Bell,38118,Doritos(r) Cheesy Gordita Crunch - Nacho Cheese | Mexican Pizza Combo | Cheesy Gordita Crunch | Chalupa Supreme | Veggie Mexican Pizza,Mini Taco Salad | Cheese Quesadilla | Avocado Ranch Chicken Stacker | Cantina Chicken Crispy Taco | Black Bean Grilled Cheese Burrito - Black Beans,Black Beans And Rice | Black Beans | Guacamole,Steak Garlic Nacho Fries | Large Nacho Fries | Loaded Beef Nachos | Chips And Nacho Cheese Sauce | Chips And Nacho Supreme Dip,Mini Taco Salad,Healthy lunch salad,Mini Taco Salad | Cheese Quesadilla | Avocado Ranch Chicken Stacker | Cantina Chicken Crispy Taco | Crunchwrap Supreme(r),Expand Pizza/Flatbreads | Expand Tacos/Burritos,Classic Stacker | Supreme Variety Taco Party Pack | Meal For 4 | Supreme Soft Taco Party Pack | Supreme Taco Party Pack
14380,McDonald's,38018,2 Sausage Burrito Meal | Sausage Burrito | Honest Kids(r) Organic Apple Juice Drink | Filet-o-fish(r) Meal | Double Filet-o-fish(r),2 Hot Honey Snack Wrap(r) Meal | Hot Honey Snack Wrap(r) And Spicy Snack Wrap(r) Meal | Hot Honey Snack Wrap(r) And Ranch Snack Wrap(r) Meal | Hot Honey Mccrispy Meal | Bacon Hot Honey Mccrispy Meal,Hash Browns | Apple Slices | 3 Half Strips Bacon | 2 Half Strips Bacon | Round Egg,Egg Cheese Bagel | Egg Cheese Biscuit | Mcchicken(r) | 4 Pc. Chicken Mcnugget(r) Happy Meal(r) | 6 Pc. Chicken Mcnuggets(r),Hot Honey Snack Wrap(r) | Hot Honey Sausage Egg Biscuit | Hot Honey Sausage Egg Biscuit Meal | Hot Honey Mccrispy | Bacon Hot Honey Mccrispy,Healthy lunch salad | Limited-time specialty pizza,2 Hot Honey Snack Wrap(r) Meal | Hot Honey Snack Wrap(r) And Spicy Snack Wrap(r) Meal | Hot Honey Snack Wrap(r) And Ranch Snack Wrap(r) Meal | Hot Honey Mccrispy Meal | Bacon Hot Honey Mccrispy Meal,Expand Tacos/Burritos,English Mcmuffin(r) | Bagel | Sausage Mcmuffin(r) | Egg Biscuit | Sausage Mcgriddles(r)
